Drawing,Number,Annotation,,,,,
No match found,151667-TSA-35-MDL1-DRG-R-SE-021752,5.  For fence panel lengths up to and including 2750mm, foundation size to be 450 x 450 x 1300 deep. ,,,,
No match found,151667-TSA-35-MDL1-DRG-R-SE-021752, For fence panel length greater than 2750mm and for all gate posts, foundation size to be increased to 600 x 600 x 1300 deep.,,,,
No match found,151667-TSA-35-MDL1-DRG-R-SE-021752,6.  If proposed change to fenceline results in significant reprofiling or build up of material at crest of existing embankment slope, Design CRE to be advised so that further assessment can be completed before construction commences.,,,,
No match found,151667-TSA-35-MDL1-DRG-R-SE-021752,7.  All works shall be carried out in accordance with 151667-TSA-00-TRU-PRO-W-DS-000044 (TRUW Route Wide Procedure for Persons Working Near High Voltage Cables and Cable Routes),,,,,
No match found,151667-TSA-35-MDL1-DRG-R-SE-021752,8.  Signage to be attached to fence panels with proprietary fixings at locations marked with yellow dot:,,,,,
No match found,151667-TSA-35-MDL1-DRG-R-SE-021752, Signage to be sign BD01 to RIS-0733-CCS Iss 1. ,,,,,
No match found,151667-TSA-35-MDL1-DRG-R-SE-021752," Main text of warning: ""Buried cables""",,,,,
No match found,151667-TSA-35-MDL1-DRG-R-SE-021752," Supplementary text: ""Northern Powergrid HV & LV Cables""",,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Fencing General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020507,1. For general notes refer to Drg. No.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Fencing General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020507,2. The CDM hazard record is to be read in conjunction with this drawing: ,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Fencing General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020507,3. GRP palisade fence and gates (including fixings between posts, pales and rails) to be designed by specialist supplier.,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Fencing General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020507, GRP palisade fence and gates to be Holly Green (reference 14 C 39 in accordance with BS4800:2011).,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Fencing General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020507, GRP palisade fence and gates arrangement based on a product by Scott Parnell. Contractor to consult designed if an alternative arrangement is required.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Fencing General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020507, GRP palisade fence and gates to be security type SP30 and designed in accordance with BS1722-12:2006.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Fencing General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020507, GRP pales to comply with BS EN 13706, either E17 or E23.,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Fencing General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020507, All connections shall be bolted in accordance with BS 1722-12.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Fencing General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020507, Permissible range of post centres to be a minimum of 0.75m and a maximum 2.75 metres,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Fencing General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020507,4. No bonding required to fence and gates.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Fencing General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020507,5. No additional security requirements are required to be achieved for the ASP fencing/gates. No box outs are required around gate padlocks. ,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Temporary Generator Slab and RC Details,151667-TSA-W2B-MVL3-DRG-C-CV-020506,1. For general notes refer to Drg. No.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Temporary Generator Slab and RC Details,151667-TSA-W2B-MVL3-DRG-C-CV-020506,2. The CDM hazard record is to be read in conjunction with this drawing:,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Temporary Generator Slab and RC Details,151667-TSA-W2B-MVL3-DRG-C-CV-020506,3. Insitu temporary generator slab to be compressive strength C25/30 unless otherwise indicated. Concrete mix to be in accordance with the Civils Specification (Section 1700).,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Temporary Generator Slab and RC Details,151667-TSA-W2B-MVL3-DRG-C-CV-020506,4. All exposed arises to foundation to have 25x25mm chamfer unless noted otherwise.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Temporary Generator Slab and RC Details,151667-TSA-W2B-MVL3-DRG-C-CV-020506,5. All finishes to be as shown on the drawing and in accordance with Network Rail standard specification NR/L2/CIV/140/1700C. All finishes to be F2 unless noted otherwise.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Temporary Generator Slab and RC Details,151667-TSA-W2B-MVL3-DRG-C-CV-020506,6. The temporary generator slab has been designed to accommodate a 320kVA Aggreko Generator (1.5x4.64x2.57m) as agreed with E&P. Temporary generators assumed to be placed in the middle of the slab and are provided with their own bund product as required. Temporary generators are assumed to not be fixed to the concrete slab.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Temporary Generator Slab and RC Details,151667-TSA-W2B-MVL3-DRG-C-CV-020506,\L\C5;151667-TSA-52-MVL3-SPE-W-CV-000001,,,,,
W2B-MVL3-Lineside Civils-General Arrangement-UTX Standard Details and Locations,151667-TSA-W2B-MVL3-DRG-C-CV-020711,1.  Do not scale from this drawing.,,,,,
W2B-MVL3-Lineside Civils-General Arrangement-UTX Standard Details and Locations,151667-TSA-W2B-MVL3-DRG-C-CV-020711,2.  All dimensions are in millimetres unless shown otherwise.,,,,,
W2B-MVL3-Lineside Civils-General Arrangement-UTX Standard Details and Locations,151667-TSA-W2B-MVL3-DRG-C-CV-020711,3.  All works in accordance with network rail company standard NR/L3/CIV/140 for specifying civil engineering works and NR/L2/CIV/044.,,,,,
W2B-MVL3-Lineside Civils-General Arrangement-UTX Standard Details and Locations,151667-TSA-W2B-MVL3-DRG-C-CV-020711,4. For additional hazards/risks associated with works shown on this drawing, refer to Hazard Log Extract REF:^J151667-TSA-W2B-MVL3-RSA-W-CV-020702,,,,
W2B-MVL3-Lineside Civils-General Arrangement-UTX Standard Details and Locations,151667-TSA-W2B-MVL3-DRG-C-CV-020711,5. A minimum of 3.0m clearance from nearest running edge to edge of UTX chamber shall be provided wherever practicable. Any deviation from this shall be agreed in the project specific form 003 submission. An absolute minimum clearance of 1.410m to allow ballast cleaner operation or any current applicable clearance.,,,,,
W2B-MVL3-Lineside Civils-General Arrangement-UTX Standard Details and Locations,151667-TSA-W2B-MVL3-DRG-C-CV-020711,6. No UTX/URX will be installed within the greater of 2.0m or 3 sleepers of any track joint (includes track welded, fishplate and insulated joints) without the TME approval. The 2.0m is measured from the edge of the UTX/URX excavation, not the centreline of the crossing.,,,
W2B-MVL3-Lineside Civils-General Arrangement-UTX Standard Details and Locations,151667-TSA-W2B-MVL3-DRG-C-CV-020711,7. The Contractor shall implement measures to confirm the presence of buried services where ground disturbance is required in accordance with HSG47 and NR/L2/INI/CP1030. This may include, but is not limited to, Electromagnetic Location (EML, e.g. CAT scanning), Ground Penetrating Radar (GPR) and/or trial holes as appropriate. Any buried services identified are to be marked up, diverted or protected as appropriate in accordance with NR/L2/INI/CP1030.
W2B-MVL3-Lineside Civils-General Arrangement-UTX Standard Details and Locations,151667-TSA-W2B-MVL3-DRG-C-CV-020711,8. For works affecting the track support zone, works to be carried out in accordance with NR/L2/CIV/177.,,,,
W2B-MVL3-Lineside Civils-General Arrangement-UTX Standard Details and Locations,151667-TSA-W2B-MVL3-DRG-C-CV-020711,9. No bonding is shown on this drawing. The bonding of any metallic structure’s elements shall be confirmed upon completion of the project bonding strategy. ,,,,,
W2B-MVL3-Lineside Civils-General Arrangement-UTX Standard Details and Locations,151667-TSA-W2B-MVL3-DRG-C-CV-020711,10. The contractor is to establish the methodology for carrying out works involving cable movements and works on or near the railway.,,,,,
W2B-MVL3-Lineside Civils-General Arrangement-UTX Standard Details and Locations,151667-TSA-W2B-MVL3-DRG-C-CV-020711,11. Refer to document 151667-TSA-W2B-MVL3-REP-W-CV-020702 for the setting out points.,,,,,
W2B-MVL3-Lineside Civils-General Arrangement-UTX Standard Details and Locations,151667-TSA-W2B-MVL3-DRG-C-CV-020711,12. New and modified lineside assets will have vegetation removed within 3m with herbicide as advised by a basis approved advisor after regrowth, these distances are required at hand back.,,,,
W2B-MVL3-Lineside Civils-General Arrangement-UTX Standard Details and Locations,151667-TSA-W2B-MVL3-DRG-C-CV-020711,13. Refer to TTS walkway 2020 technical data sheet for TTS combined walkway details.,,,,,
W2B-MVL3-Lineside Civils-General Arrangement-UTX Standard Details and Locations,151667-TSA-W2B-MVL3-DRG-C-CV-020711,14. Refer to TTS300/430 series technical data sheet for details on cable troughing.,,,,,
W2B-MVL3-Lineside Civils-General Arrangement-UTX Standard Details and Locations,151667-TSA-W2B-MVL3-DRG-C-CV-020711,15. Track monitoring shall be carried out in accordance with NR/L2/CIV/177 Issue 2. Monitoring track over adjacent to building and civil engineering works.,,,,,
W2B-MVL3-Lineside Civils-General Arrangement-UTX Standard Details and Locations,151667-TSA-W2B-MVL3-DRG-C-CV-020711,16. Track bed reinstatement to be as per NR/L2/TRK/4239. Geogrid to be installed as per clause 6.5.4.1 and 6.9. Geotextile to be heavy duty as per NR/SPTRK/010 Issue 2.,,,,,
W2B-MVL3-Lineside Civils-General Arrangement-UTX Standard Details and Locations,151667-TSA-W2B-MVL3-DRG-C-CV-020711,Proposed construction sequence for the installation of a UTX:,,,,,
W2B-MVL3-Lineside Civils-General Arrangement-UTX Standard Details and Locations,151667-TSA-W2B-MVL3-DRG-C-CV-020711,C1. It is recommended that a comprehensive site survey is undertaken to locate underground services including culverts and track drainage, using trial pits at each site prior to commencement of works.^J,,,,
W2B-MVL3-Lineside Civils-General Arrangement-UTX Standard Details and Locations,151667-TSA-W2B-MVL3-DRG-C-CV-020711,C2. De-vegetation and earthworks at each manhole locations (where required).^J,,,,,
W2B-MVL3-Lineside Civils-General Arrangement-UTX Standard Details and Locations,151667-TSA-W2B-MVL3-DRG-C-CV-020711,C3. Track monitoring shall be carried out in accordance with NR/L2/CIV/177 Issue 2. Monitoring track over adjacent to building and civil engineering works.^J,,,,,
W2B-MVL3-Lineside Civils-General Arrangement-UTX Standard Details and Locations,151667-TSA-W2B-MVL3-DRG-C-CV-020711,C4. Top ballast to underside of sleepers to be removed and set aside.^J,,,,,
W2B-MVL3-Lineside Civils-General Arrangement-UTX Standard Details and Locations,151667-TSA-W2B-MVL3-DRG-C-CV-020711,C5. Sleepers local to the proposed UTX are to be removed.^J,,,,,
W2B-MVL3-Lineside Civils-General Arrangement-UTX Standard Details and Locations,151667-TSA-W2B-MVL3-DRG-C-CV-020711,C6. Provide temporary support for track and any other existing signalling and telecoms (S&T). Cables that may be present.^J,,,,,
W2B-MVL3-Lineside Civils-General Arrangement-UTX Standard Details and Locations,151667-TSA-W2B-MVL3-DRG-C-CV-020711,C7. Where required, install vertical shoring, and excavate trench for UTX ducting to required depth.,,,
W2B-MVL3-Lineside Civils-General Arrangement-UTX Standard Details and Locations,151667-TSA-W2B-MVL3-DRG-C-CV-020711,C8. Install proposal as per temporary works design.,,,,,
W2B-MVL3-Lineside Civils-General Arrangement-UTX Standard Details and Locations,151667-TSA-W2B-MVL3-DRG-C-CV-020711,C9. Install new ducting and surrounding backfill in compacted layers.,,,,,
W2B-MVL3-Lineside Civils-General Arrangement-UTX Standard Details and Locations,151667-TSA-W2B-MVL3-DRG-C-CV-020711,C10. Backfill excavation in compacted layers and install geogrid and geotextile layer removing props where required as per the temporary works design.,,,,,
W2B-MVL3-Lineside Civils-General Arrangement-UTX Standard Details and Locations,151667-TSA-W2B-MVL3-DRG-C-CV-020711,C11. Remove vertical shoring and reinstate ballast.,,,,,
W2B-MVL3-Lineside Civils-General Arrangement-UTX Standard Details and Locations,151667-TSA-W2B-MVL3-DRG-C-CV-020711,C12. Reinstate sleeper and track to existing or relevant proposed track design.,,,,,
W2B-MVL3-Lineside Civils-General Arrangement-UTX Standard Details and Locations,151667-TSA-W2B-MVL3-DRG-C-CV-020711,C13. Install UTX hazard signs at each end of UTX.,,,,,
W2B-MVL3-Lineside Civils-General Arrangement-UTX Standard Details and Locations,151667-TSA-W2B-MVL3-DRG-C-CV-020711,C14. Reroute cables through UTX duct.,,,,,
W2B-MVL3-Lineside Civils-General Arrangement-UTX Standard Details and Locations,151667-TSA-W2B-MVL3-DRG-C-CV-020711,C15. Leave remaining ducts roped for future cable installations.,,,,,
W1B - MVL1 - Miles Platting Compound Proposed URX GA and Details,151667-TSA-W1B-MVL1-DRG-C-CV-025087,\C250;\c0;1. For general notes refer to Drg. No. ,,,,,
W1B - MVL1 - Miles Platting Compound Proposed URX GA and Details,151667-TSA-W1B-MVL1-DRG-C-CV-025087,2. The CDM hazard record is to be read in conjunction with this drawing:,,,,,
W1B - MVL1 - Miles Platting Compound Proposed URX GA and Details,151667-TSA-W1B-MVL1-DRG-C-CV-025087,3. All works to be undertaken in accordance with Network Rail Company Standard NR/L3/CIV/140 Issue 12 for specifying Civil Engineering Works and NR/L2/CIV/044 Issue 4.,,,,,
W1B - MVL1 - Miles Platting Compound Proposed URX GA and Details,151667-TSA-W1B-MVL1-DRG-C-CV-025087,4. This URX drawing is to be read in conjunction with Network Rail Standard Detail Drawing NR/CIV/SD/610 Rev. F. ,,,,,
W1B - MVL1 - Miles Platting Compound Proposed URX GA and Details,151667-TSA-W1B-MVL1-DRG-C-CV-025087,5. The URX is designed to accommodate a cable bending radius of 450mm.,,,,,
W1B - MVL1 - Miles Platting Compound Proposed URX GA and Details,151667-TSA-W1B-MVL1-DRG-C-CV-025087,6. Design loading for ducts to be in accordance with NR/L2/CIV/044 Issue 4. Earth pressures on turning chamber walls to be in accordance with NR/L3/CIV/071.,,,,,
W1B - MVL1 - Miles Platting Compound Proposed URX GA and Details,151667-TSA-W1B-MVL1-DRG-C-CV-025087,7. Excavation works to be carried out in accordance with the Contractor's Temporary Works Design. A shored excavation is proposed for this URX. Temporary works design required as part of separate submission. Any soft spots encountered to be removed and replaced with Type 1 compacted fill.,,,,,
W1B - MVL1 - Miles Platting Compound Proposed URX GA and Details,151667-TSA-W1B-MVL1-DRG-C-CV-025087,8. Material arising from excavations not suitable for spreading shall be taken off site to a suitably licensed tip. ,,,,,
W1B - MVL1 - Miles Platting Compound Proposed URX GA and Details,151667-TSA-W1B-MVL1-DRG-C-CV-025087,9. Backfill above ducts surround shall comply with Table 6/1 of the specification of highway works Series 600 and all materials shall be compacted in 150mm layers in accordance with NR/CIV/SD/610 Issue F and NR/L2/CIV/140 Issue 12 Cl. 190.006.,,,,,
W1B - MVL1 - Miles Platting Compound Proposed URX GA and Details,151667-TSA-W1B-MVL1-DRG-C-CV-025087,10. Bearing resistance at base of excavation is assumed to be a minimum of 50kPa.,,,,,
W1B - MVL1 - Miles Platting Compound Proposed URX GA and Details,151667-TSA-W1B-MVL1-DRG-C-CV-025087,11. STAKKAbox Ultima access chamber by Cubis Systems is GRP and provides a clear opening of 1200x1200mm. The box weighs 20.4kg.,,,,,
W1B - MVL1 - Miles Platting Compound Proposed URX GA and Details,151667-TSA-W1B-MVL1-DRG-C-CV-025087,12. Mortar to bed chamber lids to be resin based and have a minimum tensile strength of 5N/mm2 after three hours.,,,,,
W1B - MVL1 - Miles Platting Compound Proposed URX GA and Details,151667-TSA-W1B-MVL1-DRG-C-CV-025087,13. Swept path analysis based on Iveco Eurocargo rigid bodied vehicle as agreed with E&P at GRIP 4.,,,,,
W1B - MVL1 - Miles Platting Compound Proposed URX GA and Details,151667-TSA-W1B-MVL1-DRG-C-CV-025087,14. Warning signs to be installed as part of the MPTSC works to allow for any changes.,,,,,
W1B - MVL1 - Miles Platting Compound Proposed URX GA and Details,151667-TSA-W1B-MVL1-DRG-C-CV-025087,Z01. This drawing has been revised based upon as-built information supplied by BAM on 03/05/2023. Drawing for reference only and should be verified prior to using or relying on this information.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Existing General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020501,1. All dimensions are in millimetres unless stated otherwise. All levels are in metres above Ordnance Survey Datum Newlyn.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Existing General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020501,"2. TPEN chainage string is based on FUGRO RILA data captured March 2017 and follows the down main 6' rail throughout this zone. The datum is the down cess 8 mile post (12874.752m) at Stalybridge taken from ""104536-SUR-Stalybridge combined survey + AFC.dgn""",,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Existing General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020501,3. The CDM hazard record is to be read in conjunction with this drawing: ,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Existing General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020501,4. This drawing is read to be in conjunction with all drawings listed on Drg. No. and Form G Document:,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Existing General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020501,\pt0.0075;\C250;\c0;5. Buried services locations are based on TPEN16 Buried Services Model and are indicative only. Services to be temporarily supported during excavations (if required) and works to be in accordance with  NR/L2/AMG/1030 (Working Safely in the Vicinity of Buried Services),,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Existing General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020501, WARNING:,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Existing General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020501, Buried Services information supplied is to PAS LEVEL D.  Subject to verification it MUST be considered as “for guidance purposes only”,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,1. All dimensions are in millimetres unless stated otherwise. All levels are in metres above Ordnance Survey Datum Newlyn.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,"2. TPEN chainage string is based on FUGRO RILA data captured March 2017 and follows the down main 6' rail throughout this zone. The datum is the down cess 8 mile post (12874.752m) at Stalybridge taken from ""104536-SUR-Stalybridge combined survey + AFC.dgn""",,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,3. The CDM hazard record is to be read in conjunction with this drawing: ,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,4. This drawing is read to be in conjunction with all drawings listed on this drawing and Form G Document:,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,\pi-0.0075,l0.0075,tz;\C7;5. All works to be in accordance with Network Rail company standards NR/L3/CIV/140, model clauses for specifying Civil Engineering Works ,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,6. Concrete bases have been designed for an assumed allowable bearing capacity of 50kPa. Refer to Hazard register,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,7. Ground under concrete footings to be well compacted prior to laying concrete. Any soft spots to be excavated and backfilled with Type 1 fill compacted in 150mm thk. Layers.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,8. Type 1 fill material to be in accordance with highways agency specification for highways works. ,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,9. Swept path analysis has been performed at GRIP4 at this site for access to the ASP using a 12m long, 4 axle rigid HGV. ,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,10. Prior to construction all vegetation is to be removed in the vicinity of the works and ground treated with non-toxic herbicide. Refer also to NR/L2/OTK/5201 and NR/L3/TRK/003/TEF3077. New and modified lineside assets to have vegetation removed within 1m with herbicide as advised by a BASIS approved advisor after regrowth. These distances are required at handback.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,\pt0.0075,0.0075,0.0075,0.0075;\C256;11. Any and all excavated fill will not be placed or left on site.,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,12. Arising from excavations not required for backfill may be spread evenly and neatly over the site subject to approval of the project engineer, however if the site investigation has determined that the excavated material is contaminated it must be removed from the site to a suitably licensed tip.,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,13. The contractor is to be responsible for all dimensions and setting out. All dimensions and setting out to be independently verified.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,14. All proprietary products to be installed in accordance with the manufacturers' installation manual/guidelines. Where a products specified an alternative equivalent system may be used either subject to the approval of the designer, or for some products as per the specification requirements provided. For product details refer to the Civils Specification (Section 10),,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,15. Excavation works to be carried out in accordance with Contractor's Temporary Works Design. Temporary works required for removal of spoil mound.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,16. All full length PCC kerbs, bollards and E&P assets are to be mechanically handled.,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,\C7;Notes continued:,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,17. The following signage is to be provided for the ASP compound:,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502," ""Danger - No unauthorized access"" (CA 03/I to RIS-0733-CCS) - to be provided on all gates",,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502," ""Danger - High Voltage"" (BD 01/k to RIS-0733-CCS) - to be provided on outside face of fencing ",,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502," ""These bonds must not be disconnected without reference to ..."" (BD 01/q to RIS-0733-CCS) - to be provided on the inside face of fencing and on building beside bonding inspection chamber",,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502, Warning/Supplementary sign for NR boundary/Site entrance (RTE 6011/A NR/L2/ELP/21131 Issue 3) - to be fixed to entrance into ASP compound (to be confirmed whether required) ,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502, ,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502, Signage to be provided on the existing access gate specifying that vehicles are to reverse into the ASP compound.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502, Additional signage is to be agreed with Network Rail Maintenance Team.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,18. Buried services locations are based on TPEN16 Buried Services Model and are indicative only. Services to be temporarily supported during excavations (if required) and works to be in accordance with  NR/L2/AMG/1030 (Working Safely in the Vicinity of Buried Services),,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502, WARNING:,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502, Buried Services information supplied is to PAS LEVEL D.  Subject to verification it MUST be considered as “for guidance purposes only”,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,17. The design of the compound has been based on the following asset weights provided by E&P:,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502, ASP Cabinet - 1500kg,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502, Mobile Generator - 4000kg,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502, DNO Cabinet - 1000kg,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,18. CBR testing to be undertaken to confirm that the existing road is adequate for construction plant. See Drg. /-025008 for details.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,19. Existing timber fence to be modified to tie in to proposed GRP fence at DNO location.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,\H0.714286x;Drawing Number,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,151667-TSA-W2B-MVL3-DRG-C-CV-020501,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,151667-TSA-W2B-MVL3-DRG-C-CV-020502,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,151667-TSA-W2B-MVL3-DRG-C-CV-020503,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,151667-TSA-W2B-MVL3-DRG-C-CV-020504,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,151667-TSA-W2B-MVL3-DRG-C-CV-020505,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,151667-TSA-W2B-MVL3-DRG-C-CV-020506,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,151667-TSA-W2B-MVL3-DRG-C-CV-020507,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,151667-TSA-W2B-MVL3-DRG-C-CV-020508,,,,,
